strat_phrase_root,strat_flag
Siltstone,Shale
Surprise Creek,Formation
Tyndall,Group
Roysalt,Formation
Lady Loretta,Formation
Tungkillo,mention
Talisker,Formation
Tapanappa,Formation
Kanmantoo,Group
Tunkalilla,Formation
Paradise Creek,Formation
McNamara,Group
Breakaway,Chert
Breakaway,Shale
Paradise Creek,mention
Mt Isa,mention
Broken Hill,mention
Argylla,Formation
Lady Clayre,Dolomite
Walford,Dolomite
River,mention
Doomadgee,Formation
Bridgewater,Formation
Adaminaby,Group
Namatjira,Formation
Skates Hills,Formation
Boondawari,Formation
Mount Partridge,Group
Hampden,mention
Palaeoproterozoic Willyama,Supergroup
Thackaringa,Group
Dullingari,Group
LATE CAMBRIAN,Sandstone
Native Bee,mention
Mt Isa,Group
Wyloo,Group
Durba,Sandstone
Kanpa,Formation
Browne,Formation
Zechstein,mention
Prewitt,Shale
Cutler,Formation
Laoxue,Formation
Lady Loretta,mention
Looking Glass,Formation
Kookaburra Creek,Formation
Kookaburra Creek,mention
Wollogorang,Formation
Pyrite Barite Vein,Dolomite
Trooper Creek,Formation
Gull Rock,Member
Narrabeen,Group
Omdraaivlei,Formation
Ventersdorp,Supergroup
Enano,Group
Willyama,Supergroup
Staveley,Formation
Marimo SlateStaveley,Formation
Staveley,mention
Marimo Slate-Staveley,Formation
Wutong,Group
Ungoolya,Group
Fish River,Formation
Girilambone,Group
Mt Baldwin,Formation
Duaringa,Formation
Long Beach,Formation
Macquarie Harbour,Formation
Badger Head,Group
Skillogalee,Dolomite
Bulahdelah,Formation
Sams Road Rhyolite,Member
Rosebery,mention
Loves Creek,Member
Coominaree,Dolomite
Howqua,Chert
Gordon,Limestone
Campaspe,Formation
Seventy Mile Range,Group
JCampaspe,Formation
Earaheedy,Group
Roy Hill,Shale
Buchan,Group
Buchan Caves,Limestone
Mineralogy,Dolomite
Buchan,mention
Black River,Dolomite
Forest,mention
Youdale,Formation
Olympic,Formation
Coopers Creek,Limestone
Burranah,Formation
Kimberley,mention
Ruby Plains,Group
Bungle,Dolomite
Eliot Range,Dolomite
Alum Rock,mention
Soldiers Cap,Group
Kuridala,Formation
Buldya,Group
Bumballa,Formation
Badger Head,Formation
Flowery Gully,Limestone
Burra,Group
Tapley Hill,Formation
Algamba,Dolomite
Castlemaine,Supergroup
W-Fold,Shale
Cowal,mention
Woodleigh,mention
Gabanintha,Formation
Hatches Creek,Group
Yuanshan,Shale
Parachilna,Formation
Myally,Subgroup
Tooganinie,Formation
Emmerugga,Dolomite
Meramangye,Formation
Timiskaming,Group
Tamaree,Formation
Late-Permian South Curra,Limestone
Rollston Range,Formation
Cataract River,Member
Walford,mention
Donnegan,Member
Yalco,Formation
Ajax,Limestone
Greta Coal,Member
Mt Windsor,Formation
W-fold,Shale
Reward,Dolomite
Uppermost Tawallah,Group
Mt Rigg,Group
Albion,Formation
Nairne Pyritic,Formation
Nonesuch,Shale
Nonesuch,Formation
Copper Harbor,Formation
Narracoota,Formation
Juderina,Formation
Glengarry,mention
Cistern,Formation
Wallumbilla,Formation
Walhalla,mention
Chuniespoort,Group
Que River,Shale
Kangaroo Hills,Formation
Point Addis,Limestone
Quartz GYPse Calcite,Dolomite
Glengarry,Group
Nammuldi,Member
OREBODY,Shale
Miit,Member
Fezouata,Formation
Arthur Creek,Formation
Longmyndian,mention
Alden Pyrite,Bed
Hamilton,mention
Alden Pyrite,mention
Murder Creek,mention
Smoke Creek,mention
Hamilton,Group
Kuonamka,Formation
RETALLACK ALCHERINGA,mention
Lacepede,Formation
Parara,Limestone
Wirrealpa,Limestone
TroT Tosmon/tes,Shale
Zorra,Formation
Burgess,Shale
Casa Colorada,Formation
Liangshan,Formation
Wessel,Group
Wilson Creek,Shale
Changxing,Formation
Collio,Formation
Miria,Formation
Yingan,Formation
Svanbergfjellet,Formation
Dilwyn,Formation
Angahook,Formation
Higashinagano,Formation
Nagaur,Group
Marwar,Supergroup
Rough,Bed
Xiazhen,Formation
Rocky Cape,Group
Smithton,Dolomite
BitterSprings,Formation
Madley,Formation
Belcher Islands,Supergroup
Cattle Creek,Formation
Mara,Member
Lochness,Formation
Dook Creek,Dolomite
Omachta,Formation
Benjamin,Limestone
Halifax,Formation
Earaheedy,mention
Mount Leake,Sandstone
Duck Creek,Dolomite
Rocknest,Formation
Glengarry/Earaheedy,Group
Kössen,Formation
Wordie Creek,Formation
Corg,Group
Selmier,Member
Korea,mention
Guryungsan,Formation
Changri,Formation
Bhilwara,Group
Pyrite Coal,Limestone
Alta,Fm
Guanajuato,Conglomerate
Phyllite-Quartzite,Group
Taihua,Formation
Bangemall,Supergroup
Balcanoona,Formation
Angepena,Formation
Edmund,Group
Kiangi Creek,Formation
Winulta,Formation
Emu Bay,Shale
Panorama,Formation
Kangaroo Caves,Formation
Kneeshaw,mention
Mingah,Member
Meentheena,Member
Campbellrand,Subgroup
Campbellrand,mention
Satka,Formation
Stoer,Group
Heatherdale,Shale
Dinwoody,Formation
Changhsing,Formation
Huangzhishan,Formation
Basin,mention
Wilkawillina,Limestone
Emu Bay,mention
Tindelpina,Shale
Yankaninna,Formation
Eba,Formation
Marino,Shale
Sutherland,mention
